film,year_film,decade_film,year_ceremony,oscars_won,adult,backdrop_path,id_tmdb,original_language,original_title,overview,popularity,poster_path,release_date,video,vote_average,vote_count,genres_ids,genres
The Gold Rush,1925,1920,1943,0,FALSE,/bymglyc0M1QXHikGMkl0OclvaYV.jpg,962,en,The Gold Rush,A gold prospector in Alaska struggles to survive the elements and win the heart of a dance hall girl.,3.532,/eQRFo1qwRREYwj47Yoe1PisgOle.jpg,1925-08-15,FALSE,8,1637,"12, 35, 18","Adventure, Comedy, Drama"
7th Heaven,1927,1920,1929,3,FALSE,/ebgjvr2dwubTYzOfa419bAzumQ0.jpg,82474,en,7th Heaven,"In 1910s Paris, a sewer worker disillusioned with Christianity feels his prayers have been answered when he chances upon a street waif and they fall in love.",3.39,/wdSn5awvsTklNxwDlEoYKLpeYnl.jpg,1927-09-10,FALSE,7.4,96,"18, 10749","Drama, Romance"
Chang,1927,1920,1929,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorrell and Son,1927,1920,1929,0,FALSE,/oYvAUYpfnHvJq87uBaPRWa5lboa.jpg,183587,en,Sorrell and Son,"Stephen Sorrell, a decorated war hero, raises his son Kit alone after Kit's mother deserts husband and child in the boy's infancy. Sorrell loses a promising job offer and is forced to take work as a menial. Both his dignity and his health are damaged as he suffers under the exhausting labor and harsh treatment he receives as a hotel porter. But Sorrell thrives in the knowledge that his son will benefit from his labors. Sorrell has allowed the boy to believe his mother dead, but when the mother shows up, wanting to re-enter the young man's life, Sorrell must make hard decisions.  Preserved and restored by the Academy Film Archive in 2004.",0.073,/7IXlYJn21czo0OnXsy11eBY6KAK.jpg,1927-12-02,FALSE,5.5,2,18,Drama
Sunrise,1927,1920,1929,3,FALSE,/hKrrCigPFmhv1bg5IJl9nzjEaN4.jpg,631,en,Sunrise: A Song of Two Humans,"A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife.",3.781,/oj8ZW8jKXBSs8F1e5iWsTUeXSJW.jpg,1927-11-04,FALSE,7.8,818,"18, 10749","Drama, Romance"
The Devil Dancer,1927,1920,1929,0,FALSE,/pA00hZqh3GdcuK1j8rtWNNnCeIb.jpg,171341,en,The Devil Dancer,"An English explorer disturbed by the practices of an isolated tribe attempts to rescue a native girl he has become fascinated with.  THE DEVIL DANCER was highly praised at time of release for its exquisite cinematography, especially in the use of light and shadow. The film received an Academy Award nomination in this category. Sadly, it is among the lost. No prints or negatives are known to survive.",0.038,/lG6Fmnls91DT6gxXXWnb4YZ7yIa.jpg,1927-11-03,FALSE,5,1,"18, 10749","Drama, Romance"
The Dove,1927,1920,1929,1,FALSE,NA,79760,en,The Dove,"Norma Talmadge plays a Mexican saloon singer, known as 'The Dove.' She is romanced by a young caballero and menaced by a Villa-like brute of a dictator, played by Noah Beery.",0.143,/ttnc8Rd4hdHj8soNqKmyDXnIJtd.jpg,1927-12-31,FALSE,6.5,4,10749,Romance
The Jazz Singer,1927,1920,1929,0,FALSE,/7B2b1qhbnWFzsRbMDBn0LMWWahI.jpg,939,en,The Jazz Singer,"A young Jewish man is torn between tradition and individuality when his old-fashioned family objects to his career as a jazz singer. This is the first full length feature film to use synchronized sound, and is the original film musical.",3.531,/wr8Pt1GO87cwB3210TO3JTNDsUc.jpg,1927-10-06,FALSE,6.1,225,"18, 10402","Drama, Music"
The Private Life of Helen of Troy,1927,1920,1929,0,FALSE,NA,218413,en,The Private Life of Helen of Troy,"Setting the standard for his later light-hearted biopics The Private Life of Henry VIII and Rembrandt, producer-director Alexander Korda steadfastly refuses to take any of The Private Life of Helen of Troy seriously. Maria Corda, wife of the director, plays the title character as a fetchingly underdressed coquette, oblivious to all the political turmoil she's causing when she allows the handsome Paris (Ricardo Cortez) to kidnap her. Meanwhile, poor King Menelaus (Lewis Stone), Helen's husband, stands by in stoic silence, just as he's done on previous occasions when his wife succumbed to the charms of various sexy suitors (one of whom is played by future cowboy star ""Wild Bill"" Elliot). Finally galvanized into action, Menelaus reclaims his bride, who seems none the worse for wear for her experiences.",0.084,/mZft19Osx7lF4qgsRP4snsC8ofm.jpg,1927-12-09,FALSE,3.5,2,35,Comedy
Two Arabian Knights,1927,1920,1929,1,FALSE,/9RSA0tT2B1yx7aS1SQsKdy3GiXe.jpg,102384,en,Two Arabian Knights,"During World War I, two American soldiers fight to escape the Germans while squabbling over a beautiful harem girl.  Preserved by the Academy Film Archive in partnership with University of Nevada, Las Vegas Foundation in 2016.",0.778,/6SXSpSl2hVVW3rVWh3A1aUB2tYk.jpg,1927-09-23,FALSE,6,22,"12, 35, 10749","Adventure, Comedy, Romance"
Underworld,1927,1920,1929,1,FALSE,/1NYCVTVWmwy0r5KYD1CXk8RcRyj.jpg,42565,en,Underworld,"Boisterous gangster kingpin Bull Weed rehabilitates his former lawyer from his alcoholic haze, but complications arise when he falls for Weed's girlfriend.",2.684,/6ZjgbeCwS7sipil1J221lbjaqGG.jpg,1927-08-20,FALSE,7,76,"18, 80, 10749","Drama, Crime, Romance"
Vacation from Marriage,1927,1920,1947,1,FALSE,NA,513801,de,Eheferien,NA,0.02,/oohTW3kBzctnLTKW6NpGDoU1b3r.jpg,1927-12-13,FALSE,0,0,35,Comedy
Wings,1927,1920,1929,2,FALSE,/u90ajspDd9911ISbx74rtofQZfO.jpg,28966,en,Wings,"Two young men, one rich, one middle class, both in love with the same woman, become US Air Corps fighter pilots and, eventually, heroic flying aces during World War I. Devoted best friends, their mutual love of the girl eventually threatens their bond. Meanwhile, a hometown girl who's the lovestruck lifelong next door neighbor of one of them pines away.",3.531,/kEl6KCBgdmT1Nex3ka0EIWAOmtm.jpg,1927-08-12,FALSE,7.2,281,"18, 28, 10752, 10749","Drama, Action, War, Romance"
4 Devils,1928,1920,1930,0,FALSE,/h3ejqIZ46ZZSHzwSCABI7756kLD.jpg,171624,en,4 Devils,NA,0.108,/7G71ryJRJbu8bC6oixxzC87BMz0.jpg,1928-10-03,FALSE,7,3,NA,NA
A Ship Comes In,1928,1920,1929,0,FALSE,/kYaXKD0UTMOY5NHEHm2B9fUVe71.jpg,104212,en,A Ship Comes In,Film which tells the story of immigrants coming to the United States.,0.284,/sWoUWWoOw4zXsmUpzrgLPHzSXSv.jpg,1928-01-04,FALSE,5.8,8,18,Drama
A Woman of Affairs,1928,1920,1930,0,FALSE,/sqWMX6aCANfcHHVTcHkHAmFACc2.jpg,42615,en,A Woman of Affairs,"Childhood friends Diana, Neville and David are caught in a love triangle as adults. Diana and Neville have long been smitten with each other, but her father disapproves of the relationship, resulting in her eventual marriage to David. It's not long after their wedding, however, that tragedy strikes, sending Diana on a downward spiral. When Neville reappears in her life, will he be able to save her from her own misery?",0.778,/4mPXzRGMBKrzN9XBrEgPoxhdbu.jpg,1928-12-15,FALSE,6.7,22,"18, 10749","Drama, Romance"
Glorious Betsy,1928,1920,1929,0,FALSE,/jL4Z5zzECanP9SalqKWxXyqauxN.jpg,171354,en,Glorious Betsy,"Vitaphone production reels #2471-2478; third Warner Bros. feature film - the first being The Jazz Singer and the second Tenderloin - to include talking sequences, along with the by now usual Vitaphone musical score and sound effects.  A copy of this film survives at the Library of Congress in Washington, D.C., but the sound disks are lost.",0.249,/wW5TAQmCR8onRXHHihEyUCwKq5Y.jpg,1928-04-25,FALSE,6.4,7,"18, 36","Drama, History"
